Date,Holiday Name,ACT,NSW,NT,QLD,SA,TAS,VIC,WA
2010-01-01,New Year's Day,1,1,1,1,1,1,1,1
2010-01-26,Australia Day,1,1,1,1,1,1,1,1
2010-03-01,Labour Day,0,0,0,0,0,0,0,1
2010-03-08,Canberra Day,1,0,0,0,0,0,0,0
2010-03-08,March Public Holiday,0,0,0,0,1,0,0,0
2010-03-08,Eight Hours Day,0,0,0,0,0,1,0,0
2010-03-08,Labour Day,0,0,0,0,0,0,1,0
2010-04-02,Good Friday,1,1,1,1,1,1,1,1
2010-04-03,Easter Eve,1,1,1,1,1,0,1,0
2010-04-04,Easter Sunday,1,1,0,0,0,0,1,0
2010-04-05,Easter Monday,1,1,1,1,1,1,1,1
2010-04-25,Anzac Day,1,1,1,1,1,1,1,1
2010-05-03,May Day,0,0,1,0,0,0,0,0
2010-05-03,Labour Day,0,0,0,1,0,0,0,0
2010-05-31,Reconciliation Day,1,0,0,0,0,0,0,0
2010-06-07,Western Australia Day,0,0,0,0,0,0,0,1
2010-06-14,Queen's Birthday,1,1,1,0,1,1,1,0
2010-08-02,Picnic Day,0,0,1,0,0,0,0,0
2010-10-04,Labour Day,1,1,0,0,1,0,0,0
2010-12-25,Christmas Day,1,1,1,1,1,1,1,1
2010-12-26,Boxing Day,1,1,1,1,1,1,1,1
2011-01-01,New Year's Day,1,1,1,1,1,1,1,1
2011-01-26,Australia Day,1,1,1,1,1,1,1,1
2011-03-07,Labour Day,0,0,0,0,0,0,0,1
2011-03-14,Canberra Day,1,0,0,0,0,0,0,0
2011-03-14,March Public Holiday,0,0,0,0,1,0,0,0
2011-03-14,Eight Hours Day,0,0,0,0,0,1,0,0
2011-03-14,Labour Day,0,0,0,0,0,0,1,0
2011-04-22,Good Friday,1,1,1,1,1,1,1,1
2011-04-23,Easter Eve,1,1,1,1,1,0,1,0
2011-04-24,Easter Sunday,1,1,0,0,0,0,1,0
2011-04-25,Easter Monday,1,1,1,1,1,1,1,1
2011-04-25,Anzac Day,1,1,1,1,1,1,1,1
2011-05-02,May Day,0,0,1,0,0,0,0,0
2011-05-02,Labour Day,0,0,0,1,0,0,0,0
2011-05-30,Reconciliation Day,1,0,0,0,0,0,0,0
2011-06-06,Western Australia Day,0,0,0,0,0,0,0,1
2011-06-13,Queen's Birthday,1,1,1,0,1,1,1,0
2011-08-01,Picnic Day,0,0,1,0,0,0,0,0
2011-10-03,Labour Day,1,1,0,0,1,0,0,0
2011-12-25,Christmas Day,1,1,1,1,1,1,1,1
2011-12-26,Boxing Day,1,1,1,1,1,1,1,1
2012-01-01,New Year's Day,1,1,1,1,1,1,1,1
2012-01-26,Australia Day,1,1,1,1,1,1,1,1
2012-03-05,Labour Day,0,0,0,0,0,0,0,1
2012-03-12,Canberra Day,1,0,0,0,0,0,0,0
2012-03-12,March Public Holiday,0,0,0,0,1,0,0,0
2012-03-12,Eight Hours Day,0,0,0,0,0,1,0,0
2012-03-12,Labour Day,0,0,0,0,0,0,1,0
2012-04-06,Good Friday,1,1,1,1,1,1,1,1
2012-04-07,Easter Eve,1,1,1,1,1,0,1,0
2012-04-08,Easter Sunday,1,1,0,0,0,0,1,0
2012-04-09,Easter Monday,1,1,1,1,1,1,1,1
2012-04-25,Anzac Day,1,1,1,1,1,1,1,1
2012-05-07,May Day,0,0,1,0,0,0,0,0
2012-05-07,Labour Day,0,0,0,1,0,0,0,0
2012-05-28,Reconciliation Day,1,0,0,0,0,0,0,0
2012-06-04,Western Australia Day,0,0,0,0,0,0,0,1
2012-06-11,Queen's Birthday,1,1,1,0,1,1,1,0
2012-08-06,Picnic Day,0,0,1,0,0,0,0,0
2012-10-01,Labour Day,1,1,0,0,1,0,0,0
2012-12-25,Christmas Day,1,1,1,1,1,1,1,1
2012-12-26,Boxing Day,1,1,1,1,1,1,1,1
2013-01-01,New Year's Day,1,1,1,1,1,1,1,1
2013-01-28,Australia Day,1,1,1,1,1,1,1,1
2013-03-04,Labour Day,0,0,0,0,0,0,0,1
2013-03-11,March Public Holiday,0,0,0,0,1,0,0,0
2013-03-11,Canberra Day,1,0,0,0,0,0,0,0
2013-03-11,Labour Day,0,0,0,0,0,0,1,0
2013-03-11,Eight Hours Day,0,0,0,0,0,1,0,0
2013-03-29,Good Friday,1,1,1,1,1,1,1,1
2013-03-30,Easter Eve,1,1,1,1,1,0,1,0
2013-03-31,Easter Sunday,1,1,0,0,0,0,1,0
2013-04-01,Easter Monday,1,1,1,1,1,1,1,1
2013-04-25,Anzac Day,1,1,1,1,1,1,1,1
2013-05-06,May Day,0,0,1,0,0,0,0,0
2013-05-06,Labour Day,0,0,0,1,0,0,0,0
2013-05-27,Reconciliation Day,1,0,0,0,0,0,0,0
2013-06-03,Western Australia Day,0,0,0,0,0,0,0,1
2013-06-10,Queen's Birthday,1,1,1,0,1,1,1,0
2013-08-05,Picnic Day,0,0,1,0,0,0,0,0
2013-10-07,Labour Day,1,1,0,0,1,0,0,0
2013-12-25,Christmas Day,1,1,1,1,1,1,1,1
2013-12-26,Boxing Day,1,1,1,1,1,1,1,1
2014-01-01,New Year's Day,1,1,1,1,1,1,1,1
2014-01-27,Australia Day,1,1,1,1,1,1,1,1
2014-03-03,Labour Day,0,0,0,0,0,0,0,1
2014-03-10,Canberra Day,1,0,0,0,0,0,0,0
2014-03-10,March Public Holiday,0,0,0,0,1,0,0,0
2014-03-10,Eight Hours Day,0,0,0,0,0,1,0,0
2014-03-10,Labour Day,0,0,0,0,0,0,1,0
2014-04-18,Good Friday,1,1,1,1,1,1,1,1
2014-04-19,Easter Eve,1,1,1,1,1,0,1,0
2014-04-20,Easter Sunday,1,1,0,0,0,0,1,0
2014-04-21,Easter Monday,1,1,1,1,1,1,1,1
2014-04-25,Anzac Day,1,1,1,1,1,1,1,1
2014-05-05,May Day,0,0,1,0,0,0,0,0
2014-05-05,Labour Day,0,0,0,1,0,0,0,0
2014-06-02,Reconciliation Day,1,0,0,0,0,0,0,0
2014-06-02,Western Australia Day,0,0,0,0,0,0,0,1
2014-06-09,Queen's Birthday,1,1,1,0,1,1,1,0
2014-08-04,Picnic Day,0,0,1,0,0,0,0,0
2014-10-06,Labour Day,1,1,0,0,1,0,0,0
2014-12-25,Christmas Day,1,1,1,1,1,1,1,1
2014-12-26,Boxing Day,1,1,1,1,1,1,1,1
2015-01-01,New Year's Day,1,1,1,1,1,1,1,1
2015-01-26,Australia Day,1,1,1,1,1,1,1,1
2015-03-02,Labour Day,0,0,0,0,0,0,0,1
2015-03-09,Canberra Day,1,0,0,0,0,0,0,0
2015-03-09,March Public Holiday,0,0,0,0,1,0,0,0
2015-03-09,Eight Hours Day,0,0,0,0,0,1,0,0
2015-03-09,Labour Day,0,0,0,0,0,0,1,0
2015-04-03,Good Friday,1,1,1,1,1,1,1,1
2015-04-04,Easter Eve,1,1,1,1,1,0,1,0
2015-04-05,Easter Sunday,1,1,0,0,0,0,1,0
2015-04-06,Easter Monday,1,1,1,1,1,1,1,1
2015-04-25,Anzac Day,1,1,1,1,1,1,1,1
2015-05-04,May Day,0,0,1,0,0,0,0,0
2015-05-04,Labour Day,0,0,0,1,0,0,0,0
2015-06-01,Reconciliation Day,1,0,0,0,0,0,0,0
2015-06-01,Western Australia Day,0,0,0,0,0,0,0,1
2015-06-08,Queen's Birthday,1,1,1,0,1,1,1,0
2015-08-03,Picnic Day,0,0,1,0,0,0,0,0
2015-10-05,Labour Day,1,1,0,0,1,0,0,0
2015-12-25,Christmas Day,1,1,1,1,1,1,1,1
2015-12-26,Boxing Day,1,1,1,1,1,1,1,1
2016-01-01,New Year's Day,1,1,1,1,1,1,1,1
2016-01-26,Australia Day,1,1,1,1,1,1,1,1
2016-03-07,Labour Day,0,0,0,0,0,0,0,1
2016-03-14,Canberra Day,1,0,0,0,0,0,0,0
2016-03-14,March Public Holiday,0,0,0,0,1,0,0,0
2016-03-14,Eight Hours Day,0,0,0,0,0,1,0,0
2016-03-14,Labour Day,0,0,0,0,0,0,1,0
2016-03-25,Good Friday,1,1,1,1,1,1,1,1
2016-03-26,Easter Eve,1,1,1,1,1,0,1,0
2016-03-27,Easter Sunday,1,1,0,0,0,0,1,0
2016-03-28,Easter Monday,1,1,1,1,1,1,1,1
2016-04-25,Anzac Day,1,1,1,1,1,1,1,1
2016-05-02,May Day,0,0,1,0,0,0,0,0
2016-05-02,Labour Day,0,0,0,1,0,0,0,0
2016-05-30,Reconciliation Day,1,0,0,0,0,0,0,0
2016-06-06,Western Australia Day,0,0,0,0,0,0,0,1
2016-06-13,Queen's Birthday,1,1,1,0,1,1,1,0
2016-08-01,Picnic Day,0,0,1,0,0,0,0,0
2016-10-03,Labour Day,1,1,0,0,1,0,0,0
2016-12-25,Christmas Day,1,1,1,1,1,1,1,1
2016-12-26,Boxing Day,1,1,1,1,1,1,1,1
2017-01-01,New Year's Day,1,1,1,1,1,1,1,1
2017-01-26,Australia Day,1,1,1,1,1,1,1,1
2017-03-06,Labour Day,0,0,0,0,0,0,0,1
2017-03-13,Canberra Day,1,0,0,0,0,0,0,0
2017-03-13,March Public Holiday,0,0,0,0,1,0,0,0
2017-03-13,Eight Hours Day,0,0,0,0,0,1,0,0
2017-03-13,Labour Day,0,0,0,0,0,0,1,0
2017-04-14,Good Friday,1,1,1,1,1,1,1,1
2017-04-15,Easter Eve,1,1,1,1,1,0,1,0
2017-04-16,Easter Sunday,1,1,0,0,0,0,1,0
2017-04-17,Easter Monday,1,1,1,1,1,1,1,1
2017-04-25,Anzac Day,1,1,1,1,1,1,1,1
2017-05-01,May Day,0,0,1,0,0,0,0,0
2017-05-01,Labour Day,0,0,0,1,0,0,0,0
2017-05-29,Reconciliation Day,1,0,0,0,0,0,0,0
2017-06-05,Western Australia Day,0,0,0,0,0,0,0,1
2017-06-12,Queen's Birthday,1,1,1,0,1,1,1,0
2017-08-07,Picnic Day,0,0,1,0,0,0,0,0
2017-10-02,Labour Day,1,1,0,0,1,0,0,0
2017-12-25,Christmas Day,1,1,1,1,1,1,1,1
2017-12-26,Boxing Day,1,1,1,1,1,1,1,1
2018-01-01,New Year's Day,1,1,1,1,1,1,1,1
2018-01-26,Australia Day,1,1,1,1,1,1,1,1
2018-03-05,Labour Day,0,0,0,0,0,0,0,1
2018-03-12,Canberra Day,1,0,0,0,0,0,0,0
2018-03-12,March Public Holiday,0,0,0,0,1,0,0,0
2018-03-12,Eight Hours Day,0,0,0,0,0,1,0,0
2018-03-12,Labour Day,0,0,0,0,0,0,1,0
2018-03-30,Good Friday,1,1,1,1,1,1,1,1
2018-03-31,Easter Eve,1,1,1,1,1,0,1,0
2018-04-01,Easter Sunday,1,1,0,0,0,0,1,0
2018-04-02,Easter Monday,1,1,1,1,1,1,1,1
2018-04-25,Anzac Day,1,1,1,1,1,1,1,1
2018-05-07,May Day,0,0,1,0,0,0,0,0
2018-05-07,Labour Day,0,0,0,1,0,0,0,0
2018-05-28,Reconciliation Day,1,0,0,0,0,0,0,0
2018-06-04,Western Australia Day,0,0,0,0,0,0,0,1
2018-06-11,Queen's Birthday,1,1,1,0,1,1,1,0
2018-08-06,Picnic Day,0,0,1,0,0,0,0,0
2018-10-01,Labour Day,1,1,0,0,1,0,0,0
2018-12-25,Christmas Day,1,1,1,1,1,1,1,1
2018-12-26,Boxing Day,1,1,1,1,1,1,1,1
2019-01-01,New Year's Day,1,1,1,1,1,1,1,1
2019-01-28,Australia Day,1,1,1,1,1,1,1,1
2019-03-04,Labour Day,0,0,0,0,0,0,0,1
2019-03-11,Canberra Day,1,0,0,0,0,0,0,0
2019-03-11,March Public Holiday,0,0,0,0,1,0,0,0
2019-03-11,Eight Hours Day,0,0,0,0,0,1,0,0
2019-03-11,Labour Day,0,0,0,0,0,0,1,0
2019-04-19,Good Friday,1,1,1,1,1,1,1,1
2019-04-20,Easter Eve,1,1,1,1,1,0,1,0
2019-04-21,Easter Sunday,1,1,0,0,0,0,1,0
2019-04-22,Easter Monday,1,1,1,1,1,1,1,1
2019-04-25,Anzac Day,1,1,1,1,1,1,1,1
2019-05-06,May Day,0,0,1,0,0,0,0,0
2019-05-06,Labour Day,0,0,0,1,0,0,0,0
2019-05-27,Reconciliation Day,1,0,0,0,0,0,0,0
2019-06-03,Western Australia Day,0,0,0,0,0,0,0,1
2019-06-10,Queen's Birthday,1,1,1,0,1,1,1,0
2019-08-05,Picnic Day,0,0,1,0,0,0,0,0
2019-10-07,Labour Day,1,1,0,0,1,0,0,0
2019-12-25,Christmas Day,1,1,1,1,1,1,1,1
2019-12-26,Boxing Day,1,1,1,1,1,1,1,1
2020-01-01,New Year's Day,1,1,1,1,1,1,1,1
2020-01-27,Australia Day,1,1,1,1,1,1,1,1
2020-03-02,Labour Day,0,0,0,0,0,0,0,1
2020-03-09,Canberra Day,1,0,0,0,0,0,0,0
2020-03-09,March Public Holiday,0,0,0,0,1,0,0,0
2020-03-09,Eight Hours Day,0,0,0,0,0,1,0,0
2020-03-09,Labour Day,0,0,0,0,0,0,1,0
2020-04-10,Good Friday,1,1,1,1,1,1,1,1
2020-04-11,Easter Eve,1,1,1,1,1,0,1,0
2020-04-12,Easter Sunday,1,1,0,0,0,0,1,0
2020-04-13,Easter Monday,1,1,1,1,1,1,1,1
2020-04-25,Anzac Day,1,1,1,1,1,1,1,1
2020-05-04,May Day,0,0,1,0,0,0,0,0
2020-05-04,Labour Day,0,0,0,1,0,0,0,0
2020-06-01,Reconciliation Day,1,0,0,0,0,0,0,0
2020-06-01,Western Australia Day,0,0,0,0,0,0,0,1
2020-06-08,Queen's Birthday,1,1,1,0,1,1,1,0
2020-08-03,Picnic Day,0,0,1,0,0,0,0,0
2020-10-05,Labour Day,1,1,0,0,1,0,0,0
2020-12-25,Christmas Day,1,1,1,1,1,1,1,1
2020-12-26,Boxing Day,1,1,1,1,1,1,1,1
2021-01-01,New Year's Day,1,1,1,1,1,1,1,1
2021-01-26,Australia Day,1,1,1,1,1,1,1,1
2021-03-01,Labour Day,0,0,0,0,0,0,0,1
2021-03-08,Canberra Day,1,0,0,0,0,0,0,0
2021-03-08,March Public Holiday,0,0,0,0,1,0,0,0
2021-03-08,Eight Hours Day,0,0,0,0,0,1,0,0
2021-03-08,Labour Day,0,0,0,0,0,0,1,0
2021-04-02,Good Friday,1,1,1,1,1,1,1,1
2021-04-03,Easter Eve,1,1,1,1,1,0,1,0
2021-04-04,Easter Sunday,1,1,0,0,0,0,1,0
2021-04-05,Easter Monday,1,1,1,1,1,1,1,1
2021-04-25,Anzac Day,1,1,1,1,1,1,1,1
2021-05-03,May Day,0,0,1,0,0,0,0,0
2021-05-03,Labour Day,0,0,0,1,0,0,0,0
2021-05-31,Reconciliation Day,1,0,0,0,0,0,0,0
2021-06-07,Western Australia Day,0,0,0,0,0,0,0,1
2021-06-14,Queen's Birthday,1,1,1,0,1,1,1,0
2021-08-02,Picnic Day,0,0,1,0,0,0,0,0
2021-10-04,Labour Day,1,1,0,0,1,0,0,0
2021-12-25,Christmas Day,1,1,1,1,1,1,1,1
2021-12-26,Boxing Day,1,1,1,1,1,1,1,1
2022-01-01,New Year's Day,1,1,1,1,1,1,1,1
2022-01-26,Australia Day,1,1,1,1,1,1,1,1
2022-03-07,Labour Day,0,0,0,0,0,0,0,1
2022-03-14,March Public Holiday,0,0,0,0,1,0,0,0
2022-03-14,Canberra Day,1,0,0,0,0,0,0,0
2022-03-14,Labour Day,0,0,0,0,0,0,1,0
2022-03-14,Eight Hours Day,0,0,0,0,0,1,0,0
2022-04-15,Good Friday,1,1,1,1,1,1,1,1
2022-04-16,Easter Eve,1,1,1,1,1,0,1,0
2022-04-17,Easter Sunday,1,1,0,0,0,0,1,1
2022-04-18,Easter Monday,1,1,1,1,1,1,1,1
2022-04-25,Anzac Day,1,1,1,1,1,1,1,1
2022-05-02,May Day,0,0,1,0,0,0,0,0
2022-05-02,Labour Day,0,0,0,1,0,0,0,0
2022-05-30,Reconciliation Day,1,0,0,0,0,0,0,0
2022-06-06,Western Australia Day,0,0,0,0,0,0,0,1
2022-06-13,Queen's Birthday,1,1,1,0,1,1,1,0
2022-08-01,Picnic Day,0,0,1,0,0,0,0,0
2022-09-22,National Day of Mourning,1,1,1,1,1,1,1,1
2022-10-03,Labour Day,1,1,0,0,1,0,0,0
2022-12-25,Christmas Day,1,1,1,1,1,1,1,1
2022-12-26,Boxing Day,1,1,1,1,1,1,1,1
2023-01-01,New Year's Day,1,1,1,1,1,1,1,1
2023-01-26,Australia Day,1,1,1,1,1,1,1,1
2023-03-06,Labour Day,0,0,0,0,0,0,0,1
2023-03-13,March Public Holiday,0,0,0,0,1,0,0,0
2023-03-13,Canberra Day,1,0,0,0,0,0,0,0
2023-03-13,Labour Day,0,0,0,0,0,0,1,0
2023-03-13,Eight Hours Day,0,0,0,0,0,1,0,0
2023-04-07,Good Friday,1,1,1,1,1,1,1,1
2023-04-08,Easter Eve,1,1,1,1,1,0,1,0
2023-04-09,Easter Sunday,1,1,0,0,0,0,1,1
2023-04-10,Easter Monday,1,1,1,1,1,1,1,1
2023-04-25,Anzac Day,1,1,1,1,1,1,1,1
2023-05-01,May Day,0,0,1,0,0,0,0,0
2023-05-01,Labour Day,0,0,0,1,0,0,0,0
2023-05-29,Reconciliation Day,1,0,0,0,0,0,0,0
2023-06-05,Western Australia Day,0,0,0,0,0,0,0,1
2023-06-12,King's Birthday,1,1,1,0,1,1,1,0
2023-08-07,Picnic Day,0,0,1,0,0,0,0,0
2023-10-02,Labour Day,1,1,0,0,1,0,0,0
2023-12-25,Christmas Day,1,1,1,1,1,1,1,1
2023-12-26,Boxing Day,1,1,1,1,1,1,1,1
2024-01-01,New Year's Day,1,1,1,1,1,1,1,1
2024-01-26,Australia Day,1,1,1,1,1,1,1,1
2024-03-04,Labour Day,0,0,0,0,0,0,0,1
2024-03-11,Canberra Day,1,0,0,0,0,0,0,0
2024-03-11,March Public Holiday,0,0,0,0,1,0,0,0
2024-03-11,Eight Hours Day,0,0,0,0,0,1,0,0
2024-03-11,Labour Day,0,0,0,0,0,0,1,0
2024-03-29,Good Friday,1,1,1,1,1,1,1,1
2024-03-30,Easter Eve,1,1,1,1,1,0,1,0
2024-03-31,Easter Sunday,1,1,0,0,0,0,1,1
2024-04-01,Easter Monday,1,1,1,1,1,1,1,1
2024-04-25,Anzac Day,1,1,1,1,1,1,1,1
2024-05-06,May Day,0,0,1,0,0,0,0,0
2024-05-06,Labour Day,0,0,0,1,0,0,0,0
2024-05-27,Reconciliation Day,1,0,0,0,0,0,0,0
2024-06-03,Western Australia Day,0,0,0,0,0,0,0,1
2024-06-10,King's Birthday,1,1,1,0,1,1,1,0
2024-08-05,Picnic Day,0,0,1,0,0,0,0,0
2024-10-07,Labour Day,1,1,0,0,1,0,0,0
2024-12-25,Christmas Day,1,1,1,1,1,1,1,1
2024-12-26,Boxing Day,1,1,1,1,1,1,1,1
2025-01-01,New Year's Day,1,1,1,1,1,1,1,1
2025-01-27,Australia Day,1,1,1,1,1,1,1,1
2025-03-03,Labour Day,0,0,0,0,0,0,0,1
2025-03-10,Canberra Day,1,0,0,0,0,0,0,0
2025-03-10,March Public Holiday,0,0,0,0,1,0,0,0
2025-03-10,Eight Hours Day,0,0,0,0,0,1,0,0
2025-03-10,Labour Day,0,0,0,0,0,0,1,0
2025-04-18,Good Friday,1,1,1,1,1,1,1,1
2025-04-19,Easter Eve,1,1,1,1,1,0,1,0
2025-04-20,Easter Sunday,1,1,0,0,0,0,1,1
2025-04-21,Easter Monday,1,1,1,1,1,1,1,1
2025-04-25,Anzac Day,1,1,1,1,1,1,1,1
2025-05-05,May Day,0,0,1,0,0,0,0,0
2025-05-05,Labour Day,0,0,0,1,0,0,0,0
2025-06-02,Reconciliation Day,1,0,0,0,0,0,0,0
2025-06-02,Western Australia Day,0,0,0,0,0,0,0,1
2025-06-09,King's Birthday,1,1,1,0,1,1,1,0
2025-08-04,Picnic Day,0,0,1,0,0,0,0,0
2025-10-06,Labour Day,1,1,0,0,1,0,0,0
2025-12-25,Christmas Day,1,1,1,1,1,1,1,1
2025-12-26,Boxing Day,1,1,1,1,1,1,1,1
2026-01-01,New Year's Day,1,1,1,1,1,1,1,1
2026-01-26,Australia Day,1,1,1,1,1,1,1,1
2026-03-02,Labour Day,0,0,0,0,0,0,0,1
2026-03-09,Canberra Day,1,0,0,0,0,0,0,0
2026-03-09,March Public Holiday,0,0,0,0,1,0,0,0
2026-03-09,Eight Hours Day,0,0,0,0,0,1,0,0
2026-03-09,Labour Day,0,0,0,0,0,0,1,0
2026-04-03,Good Friday,1,1,1,1,1,1,1,1
2026-04-04,Easter Eve,1,1,1,1,1,0,1,0
2026-04-05,Easter Sunday,1,1,0,0,0,0,1,1
2026-04-06,Easter Monday,1,1,1,1,1,1,1,1
2026-04-25,Anzac Day,1,1,1,1,1,1,1,1
2026-05-04,May Day,0,0,1,0,0,0,0,0
2026-05-04,Labour Day,0,0,0,1,0,0,0,0
2026-06-01,Reconciliation Day,1,0,0,0,0,0,0,0
2026-06-01,Western Australia Day,0,0,0,0,0,0,0,1
2026-06-08,King's Birthday,1,1,1,0,1,1,1,0
2026-08-03,Picnic Day,0,0,1,0,0,0,0,0
2026-10-05,Labour Day,1,1,0,0,1,0,0,0
2026-12-25,Christmas Day,1,1,1,1,1,1,1,1
2026-12-26,Boxing Day,1,1,1,1,1,1,1,1
